Processing FPS: 20.10 | Video Playback FPS: 9.80 | Frames in Buffer: 42
Processing FPS: 20.14 | Video Playback FPS: 9.84 | Frames in Buffer: 42
Processing FPS: 20.18 | Video Playback FPS: 9.84 | Frames in Buffer: 43
Processing FPS: 20.21 | Video Playback FPS: 9.87 | Frames in Buffer: 43
Processing FPS: 20.24 | Video Playback FPS: 9.87 | Frames in Buffer: 44
Processing FPS: 20.27 | Video Playback FPS: 9.91 | Frames in Buffer: 44
Processing FPS: 20.29 | Video Playback FPS: 9.91 | Frames in Buffer: 45
Processing FPS: 20.31 | Video Playback FPS: 9.94 | Frames in Buffer: 45
Processing FPS: 20.35 | Video Playback FPS: 9.94 | Frames in Buffer: 46
Processing FPS: 20.38 | Video Playback FPS: 9.98 | Frames in Buffer: 46
Processing FPS: 20.40 | Video Playback FPS: 9.98 | Frames in Buffer: 47
Processing FPS: 20.43 | Video Playback FPS: 10.01 | Frames in Buffer: 47
Processing FPS: 20.45 | Video Playback FPS: 10.01 | Frames in Buffer: 48
Processing FPS: 20.47 | Video Playback FPS: 10.04 | Frames in Buffer: 48
Processing FPS: 20.48 | Video Playback FPS: 10.08 | Frames in Buffer: 48
Processing FPS: 20.52 | Video Playback FPS: 10.08 | Frames in Buffer: 49
Processing FPS: 20.54 | Video Playback FPS: 10.11 | Frames in Buffer: 49
Processing FPS: 20.57 | Video Playback FPS: 10.11 | Frames in Buffer: 50
Processing FPS: 21.06 | Video Playback FPS: 10.15 | Frames in Buffer: 50
Processing FPS: 20.88 | Video Playback FPS: 10.15 | Frames in Buffer: 51
Processing FPS: 22.00 | Video Playback FPS: 10.19 | Frames in Buffer: 51
Processing FPS: 23.28 | Video Playback FPS: 10.19 | Frames in Buffer: 52
Processing FPS: 23.27 | Video Playback FPS: 10.22 | Frames in Buffer: 52
Processing FPS: 23.27 | Video Playback FPS: 10.22 | Frames in Buffer: 53
Processing FPS: 23.27 | Video Playback FPS: 10.26 | Frames in Buffer: 53
Processing FPS: 23.28 | Video Playback FPS: 10.26 | Frames in Buffer: 54
Processing FPS: 23.30 | Video Playback FPS: 10.29 | Frames in Buffer: 54
Processing FPS: 23.30 | Video Playback FPS: 10.29 | Frames in Buffer: 55
Processing FPS: 23.29 | Video Playback FPS: 10.33 | Frames in Buffer: 55
Processing FPS: 23.28 | Video Playback FPS: 10.37 | Frames in Buffer: 55
Processing FPS: 23.26 | Video Playback FPS: 10.37 | Frames in Buffer: 56
Processing FPS: 23.25 | Video Playback FPS: 10.40 | Frames in Buffer: 56
Processing FPS: 23.25 | Video Playback FPS: 10.40 | Frames in Buffer: 57
Processing FPS: 23.24 | Video Playback FPS: 10.44 | Frames in Buffer: 57
Processing FPS: 23.23 | Video Playback FPS: 10.44 | Frames in Buffer: 58
Processing FPS: 23.21 | Video Playback FPS: 10.48 | Frames in Buffer: 58
Processing FPS: 23.21 | Video Playback FPS: 10.52 | Frames in Buffer: 58
Processing FPS: 23.22 | Video Playback FPS: 10.52 | Frames in Buffer: 59
Processing FPS: 23.22 | Video Playback FPS: 10.55 | Frames in Buffer: 59
Processing FPS: 23.22 | Video Playback FPS: 10.55 | Frames in Buffer: 60
Processing FPS: 23.23 | Video Playback FPS: 10.59 | Frames in Buffer: 60
Processing FPS: 23.23 | Video Playback FPS: 10.59 | Frames in Buffer: 61
Processing FPS: 23.21 | Video Playback FPS: 10.63 | Frames in Buffer: 61
Processing FPS: 23.20 | Video Playback FPS: 10.67 | Frames in Buffer: 61
