Processing FPS: 6.59 | Video Playback FPS: 0.00 | Frames in Buffer: 0
Processing FPS: 5.38 | Video Playback FPS: 0.00 | Frames in Buffer: 1
Processing FPS: 6.37 | Video Playback FPS: 3.35 | Frames in Buffer: 0
Processing FPS: 7.24 | Video Playback FPS: 4.69 | Frames in Buffer: 0
Processing FPS: 8.01 | Video Playback FPS: 5.88 | Frames in Buffer: 0
Processing FPS: 8.72 | Video Playback FPS: 6.88 | Frames in Buffer: 0
Processing FPS: 9.36 | Video Playback FPS: 7.76 | Frames in Buffer: 0
Processing FPS: 9.96 | Video Playback FPS: 8.58 | Frames in Buffer: 0
Processing FPS: 10.53 | Video Playback FPS: 9.35 | Frames in Buffer: 0
Processing FPS: 11.04 | Video Playback FPS: 10.03 | Frames in Buffer: 0
Processing FPS: 11.53 | Video Playback FPS: 10.66 | Frames in Buffer: 0
Processing FPS: 11.97 | Video Playback FPS: 11.22 | Frames in Buffer: 0
Processing FPS: 12.38 | Video Playback FPS: 11.75 | Frames in Buffer: 0
Processing FPS: 12.76 | Video Playback FPS: 12.22 | Frames in Buffer: 0
Processing FPS: 13.11 | Video Playback FPS: 12.65 | Frames in Buffer: 0
Processing FPS: 13.44 | Video Playback FPS: 13.05 | Frames in Buffer: 0
Processing FPS: 13.77 | Video Playback FPS: 13.45 | Frames in Buffer: 0
Processing FPS: 14.07 | Video Playback FPS: 13.81 | Frames in Buffer: 0
Processing FPS: 14.35 | Video Playback FPS: 14.14 | Frames in Buffer: 0
Processing FPS: 14.61 | Video Playback FPS: 14.42 | Frames in Buffer: 0
Processing FPS: 14.88 | Video Playback FPS: 14.74 | Frames in Buffer: 0
Processing FPS: 15.11 | Video Playback FPS: 15.00 | Frames in Buffer: 0
Processing FPS: 15.34 | Video Playback FPS: 15.28 | Frames in Buffer: 0
Processing FPS: 15.54 | Video Playback FPS: 15.49 | Frames in Buffer: 0
Processing FPS: 15.75 | Video Playback FPS: 15.74 | Frames in Buffer: 0
Processing FPS: 15.96 | Video Playback FPS: 15.95 | Frames in Buffer: 0
Processing FPS: 16.15 | Video Playback FPS: 16.17 | Frames in Buffer: 0
Processing FPS: 16.33 | Video Playback FPS: 16.37 | Frames in Buffer: 0
Processing FPS: 16.49 | Video Playback FPS: 16.56 | Frames in Buffer: 0
Processing FPS: 16.65 | Video Playback FPS: 16.73 | Frames in Buffer: 0
Processing FPS: 16.79 | Video Playback FPS: 16.89 | Frames in Buffer: 0
Processing FPS: 16.94 | Video Playback FPS: 17.07 | Frames in Buffer: 0
Processing FPS: 17.08 | Video Playback FPS: 17.20 | Frames in Buffer: 0
Processing FPS: 17.22 | Video Playback FPS: 17.35 | Frames in Buffer: 0
Processing FPS: 17.36 | Video Playback FPS: 17.50 | Frames in Buffer: 0
Processing FPS: 17.48 | Video Playback FPS: 17.62 | Frames in Buffer: 0
Processing FPS: 17.61 | Video Playback FPS: 17.77 | Frames in Buffer: 0
Processing FPS: 17.72 | Video Playback FPS: 17.89 | Frames in Buffer: 0
Processing FPS: 17.85 | Video Playback FPS: 18.04 | Frames in Buffer: 0
Processing FPS: 17.96 | Video Playback FPS: 18.14 | Frames in Buffer: 0
Processing FPS: 18.07 | Video Playback FPS: 18.26 | Frames in Buffer: 0
Processing FPS: 18.18 | Video Playback FPS: 18.37 | Frames in Buffer: 0
Processing FPS: 18.28 | Video Playback FPS: 18.48 | Frames in Buffer: 0
Processing FPS: 18.38 | Video Playback FPS: 18.59 | Frames in Buffer: 0
Processing FPS: 18.48 | Video Playback FPS: 18.70 | Frames in Buffer: 0
Processing FPS: 18.56 | Video Playback FPS: 18.78 | Frames in Buffer: 0
Processing FPS: 18.64 | Video Playback FPS: 18.86 | Frames in Buffer: 0
Processing FPS: 18.73 | Video Playback FPS: 18.94 | Frames in Buffer: 0
Processing FPS: 18.81 | Video Playback FPS: 19.04 | Frames in Buffer: 0
Processing FPS: 18.89 | Video Playback FPS: 19.13 | Frames in Buffer: 0
Processing FPS: 18.94 | Video Playback FPS: 19.18 | Frames in Buffer: 0
Processing FPS: 19.01 | Video Playback FPS: 19.24 | Frames in Buffer: 0
Processing FPS: 19.08 | Video Playback FPS: 19.30 | Frames in Buffer: 0
Processing FPS: 19.14 | Video Playback FPS: 19.36 | Frames in Buffer: 0
Processing FPS: 19.22 | Video Playback FPS: 19.44 | Frames in Buffer: 0
Processing FPS: 19.27 | Video Playback FPS: 19.50 | Frames in Buffer: 0
Processing FPS: 19.33 | Video Playback FPS: 19.56 | Frames in Buffer: 0
Processing FPS: 19.40 | Video Playback FPS: 19.64 | Frames in Buffer: 0
Processing FPS: 19.47 | Video Playback FPS: 19.69 | Frames in Buffer: 0
Processing FPS: 19.53 | Video Playback FPS: 19.75 | Frames in Buffer: 0
Processing FPS: 19.58 | Video Playback FPS: 19.81 | Frames in Buffer: 0
Processing FPS: 19.65 | Video Playback FPS: 19.87 | Frames in Buffer: 0
Processing FPS: 19.71 | Video Playback FPS: 19.94 | Frames in Buffer: 0
Processing FPS: 19.76 | Video Playback FPS: 19.99 | Frames in Buffer: 0
Processing FPS: 19.81 | Video Playback FPS: 20.04 | Frames in Buffer: 0
Processing FPS: 19.85 | Video Playback FPS: 20.09 | Frames in Buffer: 0
Processing FPS: 19.90 | Video Playback FPS: 20.12 | Frames in Buffer: 0
Processing FPS: 19.94 | Video Playback FPS: 20.17 | Frames in Buffer: 0
Processing FPS: 19.99 | Video Playback FPS: 20.21 | Frames in Buffer: 0
Processing FPS: 20.03 | Video Playback FPS: 20.25 | Frames in Buffer: 0
Processing FPS: 20.08 | Video Playback FPS: 20.30 | Frames in Buffer: 0
Processing FPS: 20.12 | Video Playback FPS: 20.34 | Frames in Buffer: 0
Processing FPS: 20.17 | Video Playback FPS: 20.39 | Frames in Buffer: 0
Processing FPS: 20.22 | Video Playback FPS: 20.44 | Frames in Buffer: 0
Processing FPS: 20.26 | Video Playback FPS: 20.48 | Frames in Buffer: 0
Processing FPS: 20.31 | Video Playback FPS: 20.53 | Frames in Buffer: 0
Processing FPS: 20.35 | Video Playback FPS: 20.57 | Frames in Buffer: 0
Processing FPS: 20.39 | Video Playback FPS: 20.60 | Frames in Buffer: 0
Processing FPS: 20.43 | Video Playback FPS: 20.64 | Frames in Buffer: 0
Processing FPS: 20.46 | Video Playback FPS: 20.68 | Frames in Buffer: 0
Processing FPS: 20.50 | Video Playback FPS: 20.72 | Frames in Buffer: 0
Processing FPS: 20.52 | Video Playback FPS: 20.76 | Frames in Buffer: 0
Processing FPS: 20.55 | Video Playback FPS: 20.76 | Frames in Buffer: 0
Processing FPS: 20.58 | Video Playback FPS: 20.80 | Frames in Buffer: 0
Processing FPS: 20.59 | Video Playback FPS: 20.81 | Frames in Buffer: 0
Processing FPS: 20.62 | Video Playback FPS: 20.82 | Frames in Buffer: 0
Processing FPS: 20.65 | Video Playback FPS: 20.85 | Frames in Buffer: 0
Processing FPS: 20.68 | Video Playback FPS: 20.89 | Frames in Buffer: 0
Processing FPS: 20.71 | Video Playback FPS: 20.93 | Frames in Buffer: 0
Processing FPS: 20.74 | Video Playback FPS: 20.95 | Frames in Buffer: 0
Processing FPS: 20.78 | Video Playback FPS: 20.99 | Frames in Buffer: 0
Processing FPS: 20.81 | Video Playback FPS: 21.02 | Frames in Buffer: 0
Processing FPS: 20.83 | Video Playback FPS: 21.04 | Frames in Buffer: 0
Processing FPS: 20.87 | Video Playback FPS: 21.07 | Frames in Buffer: 0
Processing FPS: 20.89 | Video Playback FPS: 21.10 | Frames in Buffer: 0
Processing FPS: 20.92 | Video Playback FPS: 21.13 | Frames in Buffer: 0
Processing FPS: 20.94 | Video Playback FPS: 21.15 | Frames in Buffer: 0
Processing FPS: 20.95 | Video Playback FPS: 21.17 | Frames in Buffer: 0
Processing FPS: 21.50 | Video Playback FPS: 21.19 | Frames in Buffer: 0
Processing FPS: 21.31 | Video Playback FPS: 21.21 | Frames in Buffer: 0
Processing FPS: 22.51 | Video Playback FPS: 21.23 | Frames in Buffer: 0
Processing FPS: 23.83 | Video Playback FPS: 24.00 | Frames in Buffer: 0
Processing FPS: 23.84 | Video Playback FPS: 23.84 | Frames in Buffer: 0
Processing FPS: 23.85 | Video Playback FPS: 23.85 | Frames in Buffer: 0
Processing FPS: 23.88 | Video Playback FPS: 23.85 | Frames in Buffer: 0
Processing FPS: 23.89 | Video Playback FPS: 23.87 | Frames in Buffer: 0
Processing FPS: 23.91 | Video Playback FPS: 23.91 | Frames in Buffer: 0
