Processing FPS: 29.18 | Video Playback FPS: 30.07 | Frames in Buffer: 0
Processing FPS: 29.26 | Video Playback FPS: 30.15 | Frames in Buffer: 0
Processing FPS: 29.36 | Video Playback FPS: 30.23 | Frames in Buffer: 0
Processing FPS: 29.41 | Video Playback FPS: 30.32 | Frames in Buffer: 0
Processing FPS: 29.49 | Video Playback FPS: 30.38 | Frames in Buffer: 0
Processing FPS: 29.56 | Video Playback FPS: 30.45 | Frames in Buffer: 0
Processing FPS: 29.63 | Video Playback FPS: 30.49 | Frames in Buffer: 0
Processing FPS: 29.70 | Video Playback FPS: 30.56 | Frames in Buffer: 0
Processing FPS: 29.79 | Video Playback FPS: 30.65 | Frames in Buffer: 0
Processing FPS: 29.86 | Video Playback FPS: 30.73 | Frames in Buffer: 0
Processing FPS: 29.94 | Video Playback FPS: 30.80 | Frames in Buffer: 0
Processing FPS: 30.03 | Video Playback FPS: 30.88 | Frames in Buffer: 0
Processing FPS: 30.11 | Video Playback FPS: 30.98 | Frames in Buffer: 0
Processing FPS: 30.15 | Video Playback FPS: 31.02 | Frames in Buffer: 0
Processing FPS: 30.23 | Video Playback FPS: 31.08 | Frames in Buffer: 0
Processing FPS: 30.30 | Video Playback FPS: 31.14 | Frames in Buffer: 0
Processing FPS: 30.37 | Video Playback FPS: 31.21 | Frames in Buffer: 0
Processing FPS: 30.43 | Video Playback FPS: 31.26 | Frames in Buffer: 0
Processing FPS: 31.86 | Video Playback FPS: 31.35 | Frames in Buffer: 0
Processing FPS: 31.60 | Video Playback FPS: 31.40 | Frames in Buffer: 0
Processing FPS: 34.88 | Video Playback FPS: 31.45 | Frames in Buffer: 0
Processing FPS: 38.85 | Video Playback FPS: 39.06 | Frames in Buffer: 0
Processing FPS: 38.95 | Video Playback FPS: 38.89 | Frames in Buffer: 0
Processing FPS: 39.02 | Video Playback FPS: 38.93 | Frames in Buffer: 0
Processing FPS: 39.09 | Video Playback FPS: 39.05 | Frames in Buffer: 0
Processing FPS: 39.18 | Video Playback FPS: 39.13 | Frames in Buffer: 0
Processing FPS: 39.26 | Video Playback FPS: 39.18 | Frames in Buffer: 0
Processing FPS: 39.28 | Video Playback FPS: 39.22 | Frames in Buffer: 0
Processing FPS: 39.27 | Video Playback FPS: 39.29 | Frames in Buffer: 0
Processing FPS: 39.32 | Video Playback FPS: 39.25 | Frames in Buffer: 0
Processing FPS: 39.27 | Video Playback FPS: 39.27 | Frames in Buffer: 0
Processing FPS: 39.24 | Video Playback FPS: 39.19 | Frames in Buffer: 0
Processing FPS: 39.26 | Video Playback FPS: 39.21 | Frames in Buffer: 0
Processing FPS: 39.32 | Video Playback FPS: 39.26 | Frames in Buffer: 0
Processing FPS: 39.38 | Video Playback FPS: 39.30 | Frames in Buffer: 0
Processing FPS: 39.40 | Video Playback FPS: 39.35 | Frames in Buffer: 0
Processing FPS: 39.42 | Video Playback FPS: 39.36 | Frames in Buffer: 0
Processing FPS: 39.47 | Video Playback FPS: 39.35 | Frames in Buffer: 0
Processing FPS: 39.47 | Video Playback FPS: 39.44 | Frames in Buffer: 0
Processing FPS: 39.51 | Video Playback FPS: 39.46 | Frames in Buffer: 0
Processing FPS: 39.56 | Video Playback FPS: 39.45 | Frames in Buffer: 0
Processing FPS: 39.57 | Video Playback FPS: 39.52 | Frames in Buffer: 0
Processing FPS: 39.54 | Video Playback FPS: 39.51 | Frames in Buffer: 0
Processing FPS: 39.63 | Video Playback FPS: 39.51 | Frames in Buffer: 0
Processing FPS: 39.64 | Video Playback FPS: 39.60 | Frames in Buffer: 0
Processing FPS: 39.67 | Video Playback FPS: 39.63 | Frames in Buffer: 0
Processing FPS: 39.74 | Video Playback FPS: 39.64 | Frames in Buffer: 0
Processing FPS: 39.71 | Video Playback FPS: 39.70 | Frames in Buffer: 0
Processing FPS: 39.72 | Video Playback FPS: 39.68 | Frames in Buffer: 0
Processing FPS: 39.70 | Video Playback FPS: 39.67 | Frames in Buffer: 0
Processing FPS: 39.73 | Video Playback FPS: 39.68 | Frames in Buffer: 0
Processing FPS: 39.72 | Video Playback FPS: 39.72 | Frames in Buffer: 0
Processing FPS: 39.69 | Video Playback FPS: 39.66 | Frames in Buffer: 0
Processing FPS: 39.69 | Video Playback FPS: 39.70 | Frames in Buffer: 0
Processing FPS: 39.63 | Video Playback FPS: 39.63 | Frames in Buffer: 0
Processing FPS: 39.62 | Video Playback FPS: 39.59 | Frames in Buffer: 0
Processing FPS: 39.60 | Video Playback FPS: 39.53 | Frames in Buffer: 0
Processing FPS: 39.59 | Video Playback FPS: 39.55 | Frames in Buffer: 0
Processing FPS: 39.56 | Video Playback FPS: 39.51 | Frames in Buffer: 0
Processing FPS: 39.53 | Video Playback FPS: 39.47 | Frames in Buffer: 0
Processing FPS: 39.52 | Video Playback FPS: 39.52 | Frames in Buffer: 0
Processing FPS: 39.50 | Video Playback FPS: 39.43 | Frames in Buffer: 0
Processing FPS: 39.49 | Video Playback FPS: 39.45 | Frames in Buffer: 0
Processing FPS: 39.48 | Video Playback FPS: 39.45 | Frames in Buffer: 0
Processing FPS: 39.50 | Video Playback FPS: 39.44 | Frames in Buffer: 0
Processing FPS: 39.56 | Video Playback FPS: 39.46 | Frames in Buffer: 0
Processing FPS: 39.51 | Video Playback FPS: 39.54 | Frames in Buffer: 0
Processing FPS: 39.49 | Video Playback FPS: 39.44 | Frames in Buffer: 0
Processing FPS: 39.56 | Video Playback FPS: 39.49 | Frames in Buffer: 0
Processing FPS: 39.51 | Video Playback FPS: 39.47 | Frames in Buffer: 0
Processing FPS: 39.51 | Video Playback FPS: 39.46 | Frames in Buffer: 0
Processing FPS: 39.45 | Video Playback FPS: 39.42 | Frames in Buffer: 0
Processing FPS: 39.40 | Video Playback FPS: 39.40 | Frames in Buffer: 0
Processing FPS: 39.43 | Video Playback FPS: 39.38 | Frames in Buffer: 0
Processing FPS: 39.40 | Video Playback FPS: 39.39 | Frames in Buffer: 0
Processing FPS: 39.39 | Video Playback FPS: 39.35 | Frames in Buffer: 0
Processing FPS: 39.34 | Video Playback FPS: 39.30 | Frames in Buffer: 0
Processing FPS: 39.34 | Video Playback FPS: 39.35 | Frames in Buffer: 0
Processing FPS: 39.31 | Video Playback FPS: 39.31 | Frames in Buffer: 0
Processing FPS: 39.29 | Video Playback FPS: 39.29 | Frames in Buffer: 0
Processing FPS: 39.30 | Video Playback FPS: 39.24 | Frames in Buffer: 0
Processing FPS: 39.35 | Video Playback FPS: 39.26 | Frames in Buffer: 0
Processing FPS: 39.43 | Video Playback FPS: 39.34 | Frames in Buffer: 0
Processing FPS: 39.49 | Video Playback FPS: 39.37 | Frames in Buffer: 0
Processing FPS: 39.45 | Video Playback FPS: 39.42 | Frames in Buffer: 0
Processing FPS: 39.39 | Video Playback FPS: 39.39 | Frames in Buffer: 0
Processing FPS: 39.43 | Video Playback FPS: 39.35 | Frames in Buffer: 0
Processing FPS: 39.49 | Video Playback FPS: 39.40 | Frames in Buffer: 0
Processing FPS: 39.48 | Video Playback FPS: 39.46 | Frames in Buffer: 0
Processing FPS: 39.54 | Video Playback FPS: 39.45 | Frames in Buffer: 0
Processing FPS: 39.57 | Video Playback FPS: 39.50 | Frames in Buffer: 0
Processing FPS: 39.51 | Video Playback FPS: 39.52 | Frames in Buffer: 0
Processing FPS: 39.52 | Video Playback FPS: 39.49 | Frames in Buffer: 0
Processing FPS: 39.57 | Video Playback FPS: 39.51 | Frames in Buffer: 0
Processing FPS: 39.53 | Video Playback FPS: 39.56 | Frames in Buffer: 0
Processing FPS: 39.49 | Video Playback FPS: 39.51 | Frames in Buffer: 0
Processing FPS: 39.55 | Video Playback FPS: 39.45 | Frames in Buffer: 0
Processing FPS: 39.56 | Video Playback FPS: 39.56 | Frames in Buffer: 0
Processing FPS: 39.58 | Video Playback FPS: 39.53 | Frames in Buffer: 0
Processing FPS: 39.58 | Video Playback FPS: 39.52 | Frames in Buffer: 0
Processing FPS: 39.49 | Video Playback FPS: 39.50 | Frames in Buffer: 0
Processing FPS: 39.54 | Video Playback FPS: 39.48 | Frames in Buffer: 0
Processing FPS: 39.51 | Video Playback FPS: 39.53 | Frames in Buffer: 0
Processing FPS: 39.55 | Video Playback FPS: 39.45 | Frames in Buffer: 0
Processing FPS: 39.57 | Video Playback FPS: 39.51 | Frames in Buffer: 0
Processing FPS: 39.61 | Video Playback FPS: 39.54 | Frames in Buffer: 0
Processing FPS: 39.59 | Video Playback FPS: 39.61 | Frames in Buffer: 0
Processing FPS: 39.62 | Video Playback FPS: 39.59 | Frames in Buffer: 0
Processing FPS: 39.56 | Video Playback FPS: 39.55 | Frames in Buffer: 0
Processing FPS: 39.58 | Video Playback FPS: 39.53 | Frames in Buffer: 0
Processing FPS: 39.56 | Video Playback FPS: 39.55 | Frames in Buffer: 0
Processing FPS: 39.56 | Video Playback FPS: 39.54 | Frames in Buffer: 0
Processing FPS: 39.53 | Video Playback FPS: 39.44 | Frames in Buffer: 0
Processing FPS: 39.56 | Video Playback FPS: 39.48 | Frames in Buffer: 0
Processing FPS: 39.53 | Video Playback FPS: 39.51 | Frames in Buffer: 0
Processing FPS: 39.54 | Video Playback FPS: 39.49 | Frames in Buffer: 0
Processing FPS: 39.57 | Video Playback FPS: 39.51 | Frames in Buffer: 0
Processing FPS: 39.63 | Video Playback FPS: 39.56 | Frames in Buffer: 0
Processing FPS: 39.67 | Video Playback FPS: 39.60 | Frames in Buffer: 0
Processing FPS: 39.74 | Video Playback FPS: 39.64 | Frames in Buffer: 0
Processing FPS: 39.75 | Video Playback FPS: 39.70 | Frames in Buffer: 0
Processing FPS: 39.81 | Video Playback FPS: 39.76 | Frames in Buffer: 0
Processing FPS: 39.79 | Video Playback FPS: 39.77 | Frames in Buffer: 0
Processing FPS: 39.78 | Video Playback FPS: 39.75 | Frames in Buffer: 0
Processing FPS: 39.75 | Video Playback FPS: 39.73 | Frames in Buffer: 0
Processing FPS: 39.77 | Video Playback FPS: 39.71 | Frames in Buffer: 0
Processing FPS: 39.72 | Video Playback FPS: 39.72 | Frames in Buffer: 0
Processing FPS: 39.75 | Video Playback FPS: 39.70 | Frames in Buffer: 0
