Processing FPS: 6.90 | Video Playback FPS: 0.00 | Frames in Buffer: 0
Processing FPS: 5.71 | Video Playback FPS: 0.00 | Frames in Buffer: 1
Processing FPS: 6.61 | Video Playback FPS: 0.00 | Frames in Buffer: 2
Processing FPS: 7.36 | Video Playback FPS: 4.67 | Frames in Buffer: 0
Processing FPS: 8.04 | Video Playback FPS: 6.01 | Frames in Buffer: 0
Processing FPS: 8.63 | Video Playback FPS: 6.01 | Frames in Buffer: 1
Processing FPS: 9.15 | Video Playback FPS: 6.47 | Frames in Buffer: 1
Processing FPS: 9.62 | Video Playback FPS: 7.14 | Frames in Buffer: 1
Processing FPS: 10.06 | Video Playback FPS: 7.60 | Frames in Buffer: 1
Processing FPS: 10.45 | Video Playback FPS: 7.60 | Frames in Buffer: 2
Processing FPS: 10.81 | Video Playback FPS: 7.92 | Frames in Buffer: 2
Processing FPS: 11.12 | Video Playback FPS: 7.92 | Frames in Buffer: 3
Processing FPS: 11.42 | Video Playback FPS: 8.15 | Frames in Buffer: 3
Processing FPS: 11.70 | Video Playback FPS: 8.15 | Frames in Buffer: 4
Processing FPS: 11.96 | Video Playback FPS: 8.32 | Frames in Buffer: 4
Processing FPS: 12.18 | Video Playback FPS: 8.47 | Frames in Buffer: 4
Processing FPS: 12.40 | Video Playback FPS: 8.47 | Frames in Buffer: 5
Processing FPS: 12.60 | Video Playback FPS: 8.58 | Frames in Buffer: 5
Processing FPS: 12.78 | Video Playback FPS: 8.58 | Frames in Buffer: 6
Processing FPS: 12.93 | Video Playback FPS: 8.68 | Frames in Buffer: 6
Processing FPS: 13.09 | Video Playback FPS: 8.68 | Frames in Buffer: 7
Processing FPS: 13.24 | Video Playback FPS: 8.76 | Frames in Buffer: 7
Processing FPS: 13.38 | Video Playback FPS: 8.83 | Frames in Buffer: 7
Processing FPS: 13.52 | Video Playback FPS: 8.83 | Frames in Buffer: 8
Processing FPS: 13.64 | Video Playback FPS: 8.90 | Frames in Buffer: 8
Processing FPS: 13.77 | Video Playback FPS: 8.90 | Frames in Buffer: 9
