Processing FPS: 7.11 | Video Playback FPS: 0.00 | Frames in Buffer: 0
Processing FPS: 5.80 | Video Playback FPS: 0.00 | Frames in Buffer: 1
Processing FPS: 6.70 | Video Playback FPS: 3.59 | Frames in Buffer: 0
Processing FPS: 7.49 | Video Playback FPS: 4.84 | Frames in Buffer: 0
Processing FPS: 8.16 | Video Playback FPS: 5.91 | Frames in Buffer: 0
Processing FPS: 8.75 | Video Playback FPS: 6.75 | Frames in Buffer: 0
Processing FPS: 9.30 | Video Playback FPS: 7.66 | Frames in Buffer: 0
Processing FPS: 9.78 | Video Playback FPS: 8.34 | Frames in Buffer: 0
Processing FPS: 10.21 | Video Playback FPS: 8.97 | Frames in Buffer: 0
Processing FPS: 10.59 | Video Playback FPS: 9.49 | Frames in Buffer: 0
Processing FPS: 10.95 | Video Playback FPS: 9.97 | Frames in Buffer: 0
Processing FPS: 11.26 | Video Playback FPS: 10.38 | Frames in Buffer: 0
Processing FPS: 11.56 | Video Playback FPS: 10.78 | Frames in Buffer: 0
Processing FPS: 11.85 | Video Playback FPS: 11.13 | Frames in Buffer: 0
Processing FPS: 12.11 | Video Playback FPS: 11.47 | Frames in Buffer: 0
Processing FPS: 12.35 | Video Playback FPS: 11.79 | Frames in Buffer: 0
Processing FPS: 12.57 | Video Playback FPS: 12.05 | Frames in Buffer: 0
Processing FPS: 12.78 | Video Playback FPS: 12.31 | Frames in Buffer: 0
Processing FPS: 12.96 | Video Playback FPS: 12.53 | Frames in Buffer: 0
Processing FPS: 13.15 | Video Playback FPS: 12.75 | Frames in Buffer: 0
Processing FPS: 13.32 | Video Playback FPS: 12.95 | Frames in Buffer: 0
Processing FPS: 13.48 | Video Playback FPS: 13.13 | Frames in Buffer: 0
Processing FPS: 13.63 | Video Playback FPS: 13.33 | Frames in Buffer: 0
Processing FPS: 13.78 | Video Playback FPS: 13.49 | Frames in Buffer: 0
Processing FPS: 13.91 | Video Playback FPS: 13.65 | Frames in Buffer: 0
Processing FPS: 14.04 | Video Playback FPS: 13.81 | Frames in Buffer: 0
Processing FPS: 14.17 | Video Playback FPS: 13.94 | Frames in Buffer: 0
Processing FPS: 14.28 | Video Playback FPS: 14.08 | Frames in Buffer: 0
Processing FPS: 14.39 | Video Playback FPS: 14.21 | Frames in Buffer: 0
Processing FPS: 14.50 | Video Playback FPS: 14.31 | Frames in Buffer: 0
Processing FPS: 14.60 | Video Playback FPS: 14.44 | Frames in Buffer: 0
Processing FPS: 14.69 | Video Playback FPS: 14.54 | Frames in Buffer: 0
Processing FPS: 14.79 | Video Playback FPS: 14.65 | Frames in Buffer: 0
Processing FPS: 14.88 | Video Playback FPS: 14.73 | Frames in Buffer: 0
Processing FPS: 14.96 | Video Playback FPS: 14.85 | Frames in Buffer: 0
Processing FPS: 15.05 | Video Playback FPS: 14.93 | Frames in Buffer: 0
Processing FPS: 15.12 | Video Playback FPS: 15.02 | Frames in Buffer: 0
Processing FPS: 15.20 | Video Playback FPS: 15.10 | Frames in Buffer: 0
