Processing FPS: 7.78 | Video Playback FPS: 6.53 | Frames in Buffer: 12
Processing FPS: 7.78 | Video Playback FPS: 6.55 | Frames in Buffer: 12
Processing FPS: 7.78 | Video Playback FPS: 6.56 | Frames in Buffer: 12
Processing FPS: 7.78 | Video Playback FPS: 6.58 | Frames in Buffer: 12
Processing FPS: 7.78 | Video Playback FPS: 6.59 | Frames in Buffer: 12
Processing FPS: 7.78 | Video Playback FPS: 6.61 | Frames in Buffer: 12
Processing FPS: 7.78 | Video Playback FPS: 6.62 | Frames in Buffer: 12
Processing FPS: 7.78 | Video Playback FPS: 6.64 | Frames in Buffer: 12
Processing FPS: 7.78 | Video Playback FPS: 6.65 | Frames in Buffer: 12
Processing FPS: 7.79 | Video Playback FPS: 6.67 | Frames in Buffer: 12
Processing FPS: 7.79 | Video Playback FPS: 6.68 | Frames in Buffer: 12
Processing FPS: 7.79 | Video Playback FPS: 6.70 | Frames in Buffer: 12
Processing FPS: 7.79 | Video Playback FPS: 6.71 | Frames in Buffer: 12
Processing FPS: 7.79 | Video Playback FPS: 6.73 | Frames in Buffer: 12
Processing FPS: 7.79 | Video Playback FPS: 6.74 | Frames in Buffer: 12
Processing FPS: 7.80 | Video Playback FPS: 6.76 | Frames in Buffer: 12
Processing FPS: 7.80 | Video Playback FPS: 6.79 | Frames in Buffer: 11
Processing FPS: 7.80 | Video Playback FPS: 6.80 | Frames in Buffer: 11
Processing FPS: 7.82 | Video Playback FPS: 6.82 | Frames in Buffer: 11
Processing FPS: 7.75 | Video Playback FPS: 6.83 | Frames in Buffer: 11
Processing FPS: 7.87 | Video Playback FPS: 6.85 | Frames in Buffer: 11
Processing FPS: 7.97 | Video Playback FPS: 6.86 | Frames in Buffer: 11
Processing FPS: 7.97 | Video Playback FPS: 6.88 | Frames in Buffer: 11
Processing FPS: 7.96 | Video Playback FPS: 6.90 | Frames in Buffer: 11
Processing FPS: 7.96 | Video Playback FPS: 6.91 | Frames in Buffer: 11
Processing FPS: 7.96 | Video Playback FPS: 6.93 | Frames in Buffer: 11
Processing FPS: 7.96 | Video Playback FPS: 6.94 | Frames in Buffer: 11
Processing FPS: 7.96 | Video Playback FPS: 6.98 | Frames in Buffer: 10
Processing FPS: 7.96 | Video Playback FPS: 6.99 | Frames in Buffer: 10
Processing FPS: 7.96 | Video Playback FPS: 7.01 | Frames in Buffer: 10
Processing FPS: 7.96 | Video Playback FPS: 7.03 | Frames in Buffer: 10
Processing FPS: 7.96 | Video Playback FPS: 7.29 | Frames in Buffer: 10
Processing FPS: 7.96 | Video Playback FPS: 7.23 | Frames in Buffer: 10
Processing FPS: 7.96 | Video Playback FPS: 7.24 | Frames in Buffer: 10
Processing FPS: 7.95 | Video Playback FPS: 7.26 | Frames in Buffer: 9
Processing FPS: 7.95 | Video Playback FPS: 7.28 | Frames in Buffer: 9
Processing FPS: 7.95 | Video Playback FPS: 7.30 | Frames in Buffer: 9
Processing FPS: 7.95 | Video Playback FPS: 7.32 | Frames in Buffer: 9
Processing FPS: 7.95 | Video Playback FPS: 7.35 | Frames in Buffer: 9
Processing FPS: 7.95 | Video Playback FPS: 7.41 | Frames in Buffer: 8
Processing FPS: 7.95 | Video Playback FPS: 7.44 | Frames in Buffer: 8
Processing FPS: 7.95 | Video Playback FPS: 7.47 | Frames in Buffer: 8
Processing FPS: 7.95 | Video Playback FPS: 7.51 | Frames in Buffer: 8
Processing FPS: 7.94 | Video Playback FPS: 7.54 | Frames in Buffer: 8
Processing FPS: 7.94 | Video Playback FPS: 7.61 | Frames in Buffer: 7
Processing FPS: 7.94 | Video Playback FPS: 7.64 | Frames in Buffer: 7
Processing FPS: 7.94 | Video Playback FPS: 7.68 | Frames in Buffer: 7
Processing FPS: 7.95 | Video Playback FPS: 7.72 | Frames in Buffer: 7
Processing FPS: 7.95 | Video Playback FPS: 7.79 | Frames in Buffer: 6
Processing FPS: 7.94 | Video Playback FPS: 7.82 | Frames in Buffer: 6
Processing FPS: 7.95 | Video Playback FPS: 7.86 | Frames in Buffer: 6
Processing FPS: 7.94 | Video Playback FPS: 7.90 | Frames in Buffer: 6
Processing FPS: 7.94 | Video Playback FPS: 7.97 | Frames in Buffer: 5
Processing FPS: 7.94 | Video Playback FPS: 8.01 | Frames in Buffer: 5
Processing FPS: 7.94 | Video Playback FPS: 8.04 | Frames in Buffer: 5
Processing FPS: 7.94 | Video Playback FPS: 8.08 | Frames in Buffer: 5
Processing FPS: 7.94 | Video Playback FPS: 8.16 | Frames in Buffer: 4
Processing FPS: 7.94 | Video Playback FPS: 8.20 | Frames in Buffer: 4
Processing FPS: 7.94 | Video Playback FPS: 8.23 | Frames in Buffer: 4
Processing FPS: 7.94 | Video Playback FPS: 8.31 | Frames in Buffer: 3
Processing FPS: 7.94 | Video Playback FPS: 8.35 | Frames in Buffer: 3
