Processing FPS: 7.61 | Video Playback FPS: 7.58 | Frames in Buffer: 0
Processing FPS: 7.61 | Video Playback FPS: 7.58 | Frames in Buffer: 0
Processing FPS: 7.61 | Video Playback FPS: 7.59 | Frames in Buffer: 0
Processing FPS: 7.61 | Video Playback FPS: 7.59 | Frames in Buffer: 0
Processing FPS: 7.62 | Video Playback FPS: 7.59 | Frames in Buffer: 0
Processing FPS: 7.62 | Video Playback FPS: 7.60 | Frames in Buffer: 0
Processing FPS: 7.62 | Video Playback FPS: 7.60 | Frames in Buffer: 0
Processing FPS: 7.63 | Video Playback FPS: 7.60 | Frames in Buffer: 0
Processing FPS: 7.63 | Video Playback FPS: 7.61 | Frames in Buffer: 0
Processing FPS: 7.63 | Video Playback FPS: 7.61 | Frames in Buffer: 0
Processing FPS: 7.64 | Video Playback FPS: 7.62 | Frames in Buffer: 0
Processing FPS: 7.64 | Video Playback FPS: 7.62 | Frames in Buffer: 0
Processing FPS: 7.64 | Video Playback FPS: 7.62 | Frames in Buffer: 0
Processing FPS: 7.65 | Video Playback FPS: 7.63 | Frames in Buffer: 0
Processing FPS: 7.65 | Video Playback FPS: 7.63 | Frames in Buffer: 0
Processing FPS: 7.65 | Video Playback FPS: 7.63 | Frames in Buffer: 0
Processing FPS: 7.65 | Video Playback FPS: 7.64 | Frames in Buffer: 0
Processing FPS: 7.66 | Video Playback FPS: 7.64 | Frames in Buffer: 0
Processing FPS: 7.74 | Video Playback FPS: 7.65 | Frames in Buffer: 0
Processing FPS: 7.67 | Video Playback FPS: 7.65 | Frames in Buffer: 0
Processing FPS: 7.81 | Video Playback FPS: 7.65 | Frames in Buffer: 0
Processing FPS: 7.99 | Video Playback FPS: 8.04 | Frames in Buffer: 0
Processing FPS: 7.98 | Video Playback FPS: 7.98 | Frames in Buffer: 0
Processing FPS: 7.98 | Video Playback FPS: 7.98 | Frames in Buffer: 0
Processing FPS: 7.98 | Video Playback FPS: 7.98 | Frames in Buffer: 0
Processing FPS: 7.98 | Video Playback FPS: 7.98 | Frames in Buffer: 0
Processing FPS: 7.98 | Video Playback FPS: 7.97 | Frames in Buffer: 0
Processing FPS: 7.98 | Video Playback FPS: 7.98 | Frames in Buffer: 0
Processing FPS: 7.98 | Video Playback FPS: 7.98 | Frames in Buffer: 0
Processing FPS: 7.97 | Video Playback FPS: 7.97 | Frames in Buffer: 0
Processing FPS: 7.97 | Video Playback FPS: 7.97 | Frames in Buffer: 0
Processing FPS: 7.97 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.97 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.97 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.97 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.95 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.97 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.97 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.97 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.97 | Video Playback FPS: 7.97 | Frames in Buffer: 0
Processing FPS: 7.97 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.97 | Video Playback FPS: 7.97 | Frames in Buffer: 0
Processing FPS: 7.97 | Video Playback FPS: 7.97 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.97 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.96 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.97 | Frames in Buffer: 0
Processing FPS: 7.96 | Video Playback FPS: 7.96 | Frames in Buffer: 0
